Category 	Threshold 	TP 	FP 	TN 	FN 	TPR 	FPR
SeqIdentity 	0.0 	23556 	2335 	0 	0 	0.995730650547 	1.0
SeqIdentity 	1.0 	23556 	2312 	23 	0 	0.995730650547 	0.990149892934
SeqIdentity 	2.0 	23545 	2288 	47 	11 	0.995265671894 	0.979871520343
SeqIdentity 	3.0 	23489 	2245 	90 	67 	0.992898507841 	0.961456102784
SeqIdentity 	4.0 	23422 	2139 	196 	134 	0.990066365135 	0.916059957173
SeqIdentity 	5.0 	23214 	1975 	360 	342 	0.98127404151 	0.845824411135
SeqIdentity 	6.0 	23084 	1808 	527 	472 	0.975778839244 	0.774304068522
SeqIdentity 	7.0 	23014 	1726 	609 	542 	0.972819884178 	0.739186295503
SeqIdentity 	8.0 	22959 	1628 	707 	597 	0.970494990912 	0.69721627409
SeqIdentity 	9.0 	22861 	1555 	780 	695 	0.966352453819 	0.665952890792
SeqIdentity 	10.0 	22785 	1486 	849 	771 	0.963139874033 	0.636402569593
SeqIdentity 	11.0 	22708 	1391 	944 	848 	0.95988502346 	0.595717344754
SeqIdentity 	12.0 	22635 	1322 	1013 	921 	0.956799256034 	0.566167023555
SeqIdentity 	13.0 	22559 	1275 	1060 	997 	0.953586676248 	0.546038543897
SeqIdentity 	14.0 	22522 	1248 	1087 	1034 	0.952022657142 	0.534475374732
SeqIdentity 	15.0 	22469 	1193 	1142 	1087 	0.949782305449 	0.510920770878
SeqIdentity 	16.0 	22409 	1163 	1172 	1147 	0.947246058249 	0.498072805139
SeqIdentity 	17.0 	22315 	1094 	1241 	1241 	0.943272604303 	0.46852248394
SeqIdentity 	18.0 	22275 	1068 	1267 	1281 	0.941581772837 	0.4573875803
SeqIdentity 	19.0 	22216 	1037 	1298 	1340 	0.939087796424 	0.444111349036
SeqIdentity 	20.0 	22188 	1020 	1315 	1368 	0.937904214397 	0.436830835118
SeqIdentity 	21.0 	22082 	948 	1387 	1474 	0.933423511012 	0.405995717345
SeqIdentity 	22.0 	22013 	924 	1411 	1543 	0.930506826732 	0.395717344754
SeqIdentity 	23.0 	21947 	892 	1443 	1609 	0.927716954813 	0.382012847966
SeqIdentity 	24.0 	21881 	862 	1473 	1675 	0.924927082893 	0.369164882227
SeqIdentity 	25.0 	21855 	854 	1481 	1701 	0.92382804244 	0.36573875803
SeqIdentity 	26.0 	21702 	794 	1541 	1854 	0.917360612081 	0.340042826552
SeqIdentity 	27.0 	21606 	767 	1568 	1950 	0.913302616562 	0.328479657388
