Category 	Threshold 	TP 	FP 	TN 	FN 	TPR 	FPR
SeqIdentity 	0.0 	23498 	2335 	0 	0 	0.995720157634 	1.0
SeqIdentity 	1.0 	23498 	2312 	23 	0 	0.995720157634 	0.990149892934
SeqIdentity 	2.0 	23487 	2288 	47 	11 	0.995254036188 	0.979871520343
SeqIdentity 	3.0 	23431 	2245 	90 	67 	0.992881054282 	0.961456102784
SeqIdentity 	4.0 	23364 	2139 	196 	134 	0.99004195093 	0.916059957173
SeqIdentity 	5.0 	23156 	1975 	360 	342 	0.981228018136 	0.845824411135
SeqIdentity 	6.0 	23026 	1808 	527 	472 	0.97571931014 	0.774304068522
SeqIdentity 	7.0 	22956 	1726 	609 	542 	0.972753082758 	0.739186295503
SeqIdentity 	8.0 	22901 	1628 	707 	597 	0.970422475529 	0.69721627409
SeqIdentity 	9.0 	22803 	1555 	780 	695 	0.966269757193 	0.665952890792
SeqIdentity 	10.0 	22727 	1486 	849 	771 	0.963049281749 	0.636402569593
SeqIdentity 	11.0 	22650 	1391 	944 	848 	0.959786431628 	0.595717344754
SeqIdentity 	12.0 	22577 	1322 	1013 	921 	0.956693080215 	0.566167023555
SeqIdentity 	13.0 	22501 	1275 	1060 	997 	0.953472604771 	0.546038543897
SeqIdentity 	14.0 	22464 	1248 	1087 	1034 	0.951904741726 	0.534475374732
SeqIdentity 	15.0 	22411 	1193 	1142 	1087 	0.949658883851 	0.510920770878
SeqIdentity 	16.0 	22351 	1163 	1172 	1147 	0.947116403237 	0.498072805139
SeqIdentity 	17.0 	22257 	1094 	1241 	1241 	0.943133183609 	0.46852248394
SeqIdentity 	18.0 	22217 	1068 	1267 	1281 	0.941438196534 	0.4573875803
SeqIdentity 	19.0 	22158 	1037 	1298 	1340 	0.938938090597 	0.444111349036
SeqIdentity 	20.0 	22130 	1020 	1315 	1368 	0.937751599644 	0.436830835118
SeqIdentity 	21.0 	22024 	948 	1387 	1474 	0.933259883893 	0.405995717345
