Category 	Threshold 	TP 	FP 	TN 	FN 	TPR 	FPR
SeqIdentity 	0.0 	19944 	1918 	0 	0 	0.995110268436 	1.0
SeqIdentity 	1.0 	19391 	1814 	104 	553 	0.967518211755 	0.945776850886
SeqIdentity 	2.0 	19382 	1798 	120 	562 	0.967069154775 	0.937434827946
SeqIdentity 	3.0 	19333 	1782 	136 	611 	0.964624288993 	0.929092805005
SeqIdentity 	4.0 	19236 	1723 	195 	708 	0.959784452649 	0.898331595412
SeqIdentity 	5.0 	19095 	1651 	267 	849 	0.952749226624 	0.860792492179
SeqIdentity 	6.0 	18905 	1565 	353 	1039 	0.943269134817 	0.815954118874
SeqIdentity 	7.0 	18827 	1522 	396 	1117 	0.939377307654 	0.793534932221
SeqIdentity 	8.0 	18754 	1464 	454 	1190 	0.935734956591 	0.763295099062
SeqIdentity 	9.0 	18651 	1413 	505 	1293 	0.930595748927 	0.736704900938
SeqIdentity 	10.0 	18564 	1370 	548 	1380 	0.926254864784 	0.714285714286
SeqIdentity 	11.0 	18471 	1325 	593 	1473 	0.92161460932 	0.690823774765
SeqIdentity 	12.0 	18344 	1293 	625 	1600 	0.915277916376 	0.674139728884
SeqIdentity 	13.0 	18260 	1268 	650 	1684 	0.911086717892 	0.66110531804
SeqIdentity 	14.0 	18211 	1248 	670 	1733 	0.908641852111 	0.650677789364
SeqIdentity 	15.0 	18120 	1216 	702 	1824 	0.904101387087 	0.633993743483
SeqIdentity 	16.0 	18032 	1198 	720 	1912 	0.899710607724 	0.624608967675
SeqIdentity 	17.0 	17931 	1160 	758 	2013 	0.8946711905 	0.604796663191
SeqIdentity 	18.0 	17870 	1146 	772 	2074 	0.891627582078 	0.597497393118
SeqIdentity 	19.0 	17803 	1116 	802 	2141 	0.888284602335 	0.581856100104
SeqIdentity 	20.0 	17762 	1102 	816 	2182 	0.886238898314 	0.574556830031
SeqIdentity 	21.0 	17634 	1053 	865 	2310 	0.879852310149 	0.549009384776
SeqIdentity 	22.0 	17556 	1038 	880 	2388 	0.875960482986 	0.541188738269
SeqIdentity 	23.0 	17484 	1013 	905 	2460 	0.872368027143 	0.528154327424
SeqIdentity 	24.0 	17387 	984 	934 	2557 	0.867528190799 	0.513034410845
SeqIdentity 	25.0 	17355 	980 	938 	2589 	0.865931543758 	0.510948905109
SeqIdentity 	26.0 	17200 	952 	966 	2744 	0.858197784652 	0.496350364964
SeqIdentity 	27.0 	17078 	936 	982 	2866 	0.852110567808 	0.488008342023
SeqIdentity 	28.0 	16990 	914 	1004 	2954 	0.847719788444 	0.47653806048
SeqIdentity 	29.0 	16898 	891 	1027 	3046 	0.843129428201 	0.464546402503
SeqIdentity 	30.0 	16831 	880 	1038 	3113 	0.839786448458 	0.458811261731
SeqIdentity 	31.0 	16659 	852 	1066 	3285 	0.831204470612 	0.444212721585
SeqIdentity 	32.0 	16556 	842 	1076 	3388 	0.826065262948 	0.438998957247
SeqIdentity 	33.0 	16530 	840 	1078 	3414 	0.824767987227 	0.43795620438
SeqIdentity 	34.0 	16336 	797 	1121 	3608 	0.815088314539 	0.415537017727
SeqIdentity 	35.0 	16276 	784 	1134 	3668 	0.812094601337 	0.408759124088
SeqIdentity 	36.0 	16162 	775 	1143 	3782 	0.806406546253 	0.404066736184
SeqIdentity 	37.0 	16016 	747 	1171 	3928 	0.799121844127 	0.389468196038
SeqIdentity 	38.0 	15942 	737 	1181 	4002 	0.795429597845 	0.3842544317
SeqIdentity 	39.0 	15844 	727 	1191 	4100 	0.790539866281 	0.379040667362
SeqIdentity 	40.0 	15817 	724 	1194 	4127 	0.78919269534 	0.37747653806
SeqIdentity 	41.0 	15637 	693 	1225 	4307 	0.780211555733 	0.361313868613
SeqIdentity 	42.0 	15497 	677 	1241 	4447 	0.773226224928 	0.352971845673
SeqIdentity 	43.0 	15378 	662 	1256 	4566 	0.767288693743 	0.345151199166
SeqIdentity 	44.0 	15330 	651 	1267 	4614 	0.764893723181 	0.339416058394
SeqIdentity 	45.0 	15222 	638 	1280 	4722 	0.759505039417 	0.332638164755
SeqIdentity 	46.0 	15083 	627 	1291 	4861 	0.752569603832 	0.326903023983
SeqIdentity 	47.0 	14951 	611 	1307 	4993 	0.745983434787 	0.318561001043
SeqIdentity 	48.0 	14849 	604 	1314 	5095 	0.740894122343 	0.314911366006
SeqIdentity 	49.0 	14784 	600 	1318 	5160 	0.737650933041 	0.312825860271
SeqIdentity 	50.0 	14780 	600 	1318 	5164 	0.73745135216 	0.312825860271
SeqIdentity 	51.0 	14329 	545 	1373 	5615 	0.714948607923 	0.284150156413
SeqIdentity 	52.0 	14298 	540 	1378 	5646 	0.713401856102 	0.281543274244
SeqIdentity 	53.0 	14168 	521 	1397 	5776 	0.706915477497 	0.271637122002
SeqIdentity 	54.0 	13980 	507 	1411 	5964 	0.69753517613 	0.264337851929
SeqIdentity 	55.0 	13892 	502 	1416 	6052 	0.693144396767 	0.26173096976
SeqIdentity 	56.0 	13736 	496 	1422 	6208 	0.685360742441 	0.258602711157
SeqIdentity 	57.0 	13634 	488 	1430 	6310 	0.680271429997 	0.254431699687
SeqIdentity 	58.0 	13442 	482 	1436 	6502 	0.67069154775 	0.251303441084
SeqIdentity 	59.0 	13268 	473 	1445 	6676 	0.662009779463 	0.24661105318
SeqIdentity 	60.0 	13219 	463 	1455 	6725 	0.659564913681 	0.241397288843
SeqIdentity 	61.0 	12954 	435 	1483 	6990 	0.646342680371 	0.226798748697
SeqIdentity 	62.0 	12826 	426 	1492 	7118 	0.639956092206 	0.222106360792
SeqIdentity 	63.0 	12686 	418 	1500 	7258 	0.632970761401 	0.217935349322
SeqIdentity 	64.0 	12563 	406 	1512 	7381 	0.626833649336 	0.211678832117
SeqIdentity 	65.0 	12422 	397 	1521 	7522 	0.619798423311 	0.206986444213
SeqIdentity 	66.0 	12313 	393 	1525 	7631 	0.614359844327 	0.204900938478
SeqIdentity 	67.0 	11954 	355 	1563 	7990 	0.596447460333 	0.185088633994
SeqIdentity 	68.0 	11938 	353 	1565 	8006 	0.595649136813 	0.184045881126
SeqIdentity 	69.0 	11721 	347 	1571 	8223 	0.584821874064 	0.180917622523
SeqIdentity 	70.0 	11604 	344 	1574 	8340 	0.57898413332 	0.179353493222
SeqIdentity 	71.0 	11400 	323 	1595 	8544 	0.568805508432 	0.168404588113
SeqIdentity 	72.0 	11276 	313 	1605 	8668 	0.562618501148 	0.163190823775
SeqIdentity 	73.0 	11087 	299 	1619 	8857 	0.55318830456 	0.155891553702
SeqIdentity 	74.0 	10892 	292 	1626 	9052 	0.543458736653 	0.152241918665
SeqIdentity 	75.0 	10866 	290 	1628 	9078 	0.542161460932 	0.151199165798
SeqIdentity 	76.0 	10536 	274 	1644 	9408 	0.52569603832 	0.142857142857
SeqIdentity 	77.0 	10262 	259 	1659 	9682 	0.512024748029 	0.13503649635
SeqIdentity 	78.0 	10100 	254 	1664 	9844 	0.503941722383 	0.132429614181
SeqIdentity 	79.0 	9905 	246 	1672 	10039 	0.494212154476 	0.128258602711
SeqIdentity 	80.0 	9871 	242 	1676 	10073 	0.492515716994 	0.126173096976
SeqIdentity 	81.0 	9366 	228 	1690 	10578 	0.467318630875 	0.118873826903
SeqIdentity 	82.0 	9132 	222 	1696 	10812 	0.455643149386 	0.1157455683
SeqIdentity 	83.0 	9009 	217 	1701 	10935 	0.449506037322 	0.113138686131
SeqIdentity 	84.0 	8719 	208 	1710 	11225 	0.435036423511 	0.108446298227
SeqIdentity 	85.0 	8483 	200 	1718 	11461 	0.423261151582 	0.104275286757
SeqIdentity 	86.0 	8229 	189 	1729 	11715 	0.410587765692 	0.0985401459854
SeqIdentity 	87.0 	8001 	179 	1739 	11943 	0.399211655523 	0.0933263816475
SeqIdentity 	88.0 	7792 	166 	1752 	12152 	0.388783554535 	0.0865484880083
SeqIdentity 	89.0 	7471 	154 	1764 	12473 	0.372767188903 	0.0802919708029
SeqIdentity 	90.0 	7354 	153 	1765 	12590 	0.366929448159 	0.0797705943691
SeqIdentity 	91.0 	6746 	131 	1787 	13198 	0.336593154376 	0.0683003128259
SeqIdentity 	92.0 	6393 	123 	1795 	13551 	0.318980141702 	0.0641293013556
SeqIdentity 	93.0 	5765 	112 	1806 	14179 	0.287645943519 	0.0583941605839
SeqIdentity 	94.0 	5436 	105 	1813 	14508 	0.271230416126 	0.0547445255474
SeqIdentity 	95.0 	5031 	99 	1819 	14913 	0.251022852011 	0.0516162669447
SeqIdentity 	96.0 	4642 	94 	1824 	15302 	0.231613611416 	0.0490093847758
SeqIdentity 	97.0 	4308 	85 	1833 	15636 	0.214948607923 	0.0443169968717
SeqIdentity 	98.0 	4265 	84 	1834 	15679 	0.212803113462 	0.043795620438
SeqIdentity 	99.0 	4254 	84 	1834 	15690 	0.212254266041 	0.043795620438
SeqIdentity 	100.0 	4254 	84 	1834 	15690 	0.212254266041 	0.043795620438
TypeIdentity 	0.0 	20042 	1918 	0 	0 	1.0 	1.0
TypeIdentity 	1.0 	19477 	1826 	92 	565 	0.971809200679 	0.952033368092
TypeIdentity 	2.0 	19474 	1820 	98 	568 	0.971659515018 	0.948905109489
